,BiLSTM,LSTM Hao 2020,LSTM1,LSTM2,LSTM3,y_test_target
1151,0.5913984179496765,0.0838583186268806,0.5513606667518616,0.5119630694389343,0.138707160949707,0
1152,0.6100690364837646,0.1050670370459556,0.5558711290359497,0.510459840297699,0.1388140469789505,0
1153,0.6364105939865112,0.1244945898652076,0.5599058866500854,0.5096675157546997,0.1418685019016266,0
1154,0.6651952862739563,0.1419750154018402,0.562746524810791,0.5086588859558105,0.1411703377962112,0
1155,0.6840460300445557,0.1538174748420715,0.5638737678527832,0.507364809513092,0.1393778920173645,0
1156,0.6962109804153442,0.1385075002908706,0.5636841058731079,0.5053960680961609,0.1338835209608078,0
1157,0.7078356742858887,0.1308060735464096,0.5649691820144653,0.5036987066268921,0.1295054703950882,1
1158,0.7205862998962402,0.1228724792599678,0.5664231777191162,0.5020005106925964,0.1246734485030174,1
1159,0.7245233058929443,0.1191055998206138,0.5640078783035278,0.4999454617500305,0.1159365251660347,1
1160,0.7217920422554016,0.1043733730912208,0.5614156126976013,0.4979743063449859,0.1087338924407959,1
1161,0.7015032172203064,0.0854373574256897,0.5561679005622864,0.495480865240097,0.0951510742306709,0
1162,0.68123459815979,0.0642284676432609,0.550999641418457,0.492977499961853,0.0805438905954361,0
1163,0.6548747420310974,0.032524362206459,0.5437939763069153,0.4908005595207214,0.0651457607746124,0
1164,0.6100980639457703,0.0095144705846905,0.5358729362487793,0.4886958003044128,0.0493367277085781,0
1165,0.5787044167518616,-0.0215127412229776,0.5303191542625427,0.4873745739459991,0.0396862179040908,0
1166,0.5593492388725281,-0.0450518056750297,0.5252683162689209,0.4861718714237213,0.0295740440487861,0
1167,0.5487986207008362,-0.0559741631150245,0.5223288536071777,0.4854319393634796,0.0226401183754205,0
1168,0.52158123254776,-0.06995290517807,0.5188308954238892,0.4844838082790375,0.0181873012334108,0
1169,0.5226603746414185,-0.0850653797388076,0.5195831060409546,0.4840662777423858,0.0156108867377042,0
1170,0.5318374633789062,-0.0728590413928031,0.5202381610870361,0.4840711057186126,0.0161193013191223,0
1171,0.5514562129974365,-0.0681900456547737,0.5228348970413208,0.4842897057533264,0.0207062978297472,0
1172,0.5849125385284424,-0.0511949583888053,0.528571367263794,0.4858008921146393,0.0329957492649555,0
1173,0.623348593711853,-0.0290304664522409,0.5347522497177124,0.4876439869403839,0.0468901991844177,1
1174,0.6368728280067444,-0.0174451917409896,0.5385359525680542,0.4891382753849029,0.0555789172649383,1
1175,0.6415488719940186,-0.0061570424586534,0.5422905683517456,0.4914227128028869,0.0682278126478195,1
1176,0.6379898190498352,-0.0058124735951423,0.5438865423202515,0.4936108887195587,0.0751474797725677,1
1177,0.6040176153182983,0.0059259091503918,0.5382810235023499,0.4947818517684936,0.072852574288845,1
1178,0.5436779856681824,-0.0247445683926343,0.5290960073471069,0.4948587417602539,0.0659078359603881,1
1179,0.4969969391822815,-0.0475609973073005,0.5217718482017517,0.4953015148639679,0.0580647587776184,1
1180,0.4684476256370544,-0.0529960244894027,0.5114014148712158,0.4945410788059234,0.0431379228830337,1
1181,0.4544341564178467,-0.0997086018323898,0.4992439746856689,0.4930399060249328,0.0274201836436986,0
1182,0.4468420147895813,-0.132322147488594,0.4923299252986908,0.4925770461559295,0.0175759904086589,0
1183,0.4445503950119018,-0.1299360394477844,0.4918892979621887,0.4927519857883453,0.0162480138242244,0
1184,0.4479772448539734,-0.1296159327030182,0.4949057698249817,0.4933596551418304,0.0211366396397352,0
1185,0.4578063189983368,-0.1097426936030387,0.5016029477119446,0.4953879117965698,0.0369327664375305,0
1186,0.4685105085372925,-0.0747515559196472,0.5145815014839172,0.4976578950881958,0.0596525818109512,0
1187,0.4949215650558471,-0.0282608587294816,0.5300761461257935,0.5001755356788635,0.0833848416805267,0
1188,0.6104676723480225,0.0179129354655742,0.5494783520698547,0.5045548677444458,0.1161828115582466,1
1189,0.7009024620056152,0.0940252617001533,0.5649721622467041,0.5094021558761597,0.1462762057781219,1
1190,0.7283177971839905,0.1692820340394973,0.5753443837165833,0.5128466486930847,0.1707059144973755,1
1191,0.7449709177017212,0.1717434972524643,0.5804853439331055,0.515587568283081,0.1839764267206192,1
1192,0.7398635745048523,0.1941299736499786,0.577640175819397,0.5168272256851196,0.1803496181964874,1
1193,0.6852657794952393,0.1774554252624511,0.5681583881378174,0.5156286954879761,0.1658248305320739,1
1194,0.6014689207077026,0.1090040877461433,0.5538074374198914,0.5134413242340088,0.1457120180130005,0
1195,0.5717368125915527,0.054107517004013,0.5429964065551758,0.5123143196105957,0.1267493516206741,0
1196,0.5229213237762451,0.0375342220067977,0.5312212109565735,0.5101521611213684,0.1095577552914619,0
1197,0.4763095676898956,-0.0051481761038303,0.522953987121582,0.5078719854354858,0.0966626107692718,0
1198,0.4720000922679901,-0.0358649715781211,0.5187537670135498,0.507177472114563,0.0916257053613662,0
1199,0.4714379906654358,-0.0442228317260742,0.5200403332710266,0.5064156651496887,0.088603101670742,0
1200,0.5251219272613525,-0.1370385438203811,0.5222384333610535,0.4700602293014526,-0.0440478809177875,1
1201,0.5209102034568787,-0.1574757844209671,0.5165401101112366,0.4680028259754181,-0.0511633418500423,1
1202,0.5190480947494507,-0.1752839535474777,0.5205631852149963,0.4671811461448669,-0.0505149774253368,1
1203,0.5156324505805969,-0.1851980686187744,0.5217651724815369,0.4656436741352081,-0.0557462014257907,1
1204,0.5273903012275696,-0.1837705373764038,0.5207183957099915,0.4644177258014679,-0.0648934990167617,1
1205,0.5113703012466431,-0.1978132128715515,0.5129266977310181,0.4608905911445617,-0.0780097842216491,0
1206,0.4851904511451721,-0.2310885787010193,0.5069910287857056,0.4579242169857025,-0.0912450402975082,0
1207,0.4697621166706085,-0.2384919077157974,0.5004630088806152,0.4538376033306122,-0.1139130741357803,0
1208,0.4708589911460876,-0.2394948750734329,0.4941314160823822,0.4502135515213012,-0.1298960298299789,0
1209,0.4685402810573578,-0.2658952474594116,0.4934787452220917,0.4490692615509033,-0.1352448165416717,0
1210,0.4631442427635193,-0.271331787109375,0.4925651848316192,0.4490833878517151,-0.1343184858560562,0
1211,0.4629331231117248,-0.2810005843639374,0.4930056929588318,0.4489045143127441,-0.1379820257425308,0
1212,0.4712194204330444,-0.2785941064357757,0.4940669536590576,0.4488788545131683,-0.1354209929704666,0
