,LSTM Hao 2020,LSTM1,LSTM2,LSTM3,y_test_target
0,0.4129844903945923,0.6108579635620117,0.561381459236145,0.2923982739448547,1
1,0.4140955805778503,0.6116958260536194,0.5616543292999268,0.2931624948978424,0
2,0.4189993143081665,0.6122531890869141,0.5618242621421814,0.2910821139812469,0
3,0.4266826510429382,0.6133102774620056,0.5618780851364136,0.2892042398452759,0
4,0.4273282289505005,0.6145236492156982,0.561992347240448,0.2873871326446533,0
5,0.4278374314308166,0.615409791469574,0.5623596906661987,0.2867791354656219,0
6,0.4300122261047363,0.6165040731430054,0.5624526739120483,0.2844611704349518,0
7,0.431522935628891,0.6173775792121887,0.5626500844955444,0.2843948006629944,0
8,0.4382768869400024,0.6197112798690796,0.5628281831741333,0.288128525018692,0
9,0.4393791258335113,0.6221715807914734,0.5630264282226562,0.2947523295879364,0
10,0.4447843134403229,0.6230456829071045,0.5632282495498657,0.2984768450260162,0
11,0.4430697858333587,0.6219695210456848,0.5633543133735657,0.2951006293296814,0
12,0.4494825303554535,0.6227490305900574,0.5635774731636047,0.2929806411266327,0
13,0.4539653062820434,0.6239016652107239,0.5636162757873535,0.2963836193084717,1
14,0.4556474983692169,0.625145435333252,0.5636613368988037,0.3013229370117187,1
15,0.4587666094303131,0.6254456043243408,0.563886821269989,0.3050392568111419,1
16,0.4651191830635071,0.6275245547294617,0.5641511082649231,0.3130822479724884,1
17,0.4706911742687225,0.6286261081695557,0.5640433430671692,0.3150399327278137,1
18,0.4709441065788269,0.6289510130882263,0.5639058351516724,0.3172671794891357,1
19,0.4733652174472809,0.6293160915374756,0.5639533400535583,0.3197259604930877,1
20,0.4720019996166229,0.6294865608215332,0.5640652179718018,0.3212031722068786,1
21,0.4756391048431396,0.6286287307739258,0.5639197826385498,0.320580780506134,1
22,0.4710641801357269,0.6274811625480652,0.5639055967330933,0.3178625404834747,1
23,0.4743878841400146,0.6278336048126221,0.5636976361274719,0.3143581748008728,0
24,0.4713709056377411,0.6275465488433838,0.5636172294616699,0.3144883811473846,0
25,0.4723159372806549,0.6277090907096863,0.5635273456573486,0.3109807670116424,0
26,0.4611879587173462,0.6266520619392395,0.563481330871582,0.3085800111293793,0
27,0.4529735445976257,0.6245535612106323,0.5634649395942688,0.3047925531864166,0
28,0.4494906067848205,0.6217371821403503,0.563266396522522,0.2965615093708038,0
29,0.4489590227603912,0.6218781471252441,0.5630650520324707,0.2892165780067444,0
30,0.4495799839496612,0.62211012840271,0.5632604956626892,0.2882939279079437,0
31,0.4404312968254089,0.6234135627746582,0.5633119344711304,0.2883867919445038,0
