,BiLSTM,LSTM Hao 2020,LSTM1,LSTM2,LSTM3,y_test_target
402,0.5539340376853943,0.0409413203597068,0.5326107740402222,0.5556595325469971,0.0647423937916755,1
403,0.553983747959137,0.0368854515254497,0.5310308337211609,0.5552835464477539,0.0590724945068359,1
404,0.5536978840827942,0.0321287289261817,0.5303350687026978,0.5550040006637573,0.0541139058768749,1
405,0.5531060099601746,0.0307939387857913,0.52972012758255,0.5547369718551636,0.0496619641780853,1
406,0.5526365637779236,0.0277696382254362,0.5285602807998657,0.5544650554656982,0.0451720729470253,1
407,0.5519567131996155,0.0261633116751909,0.5267448425292969,0.5540007948875427,0.0384599938988685,0
408,0.5513847470283508,0.0233892519026994,0.5248485207557678,0.553432285785675,0.0310674458742141,0
409,0.550841212272644,0.0147397555410861,0.5228261947631836,0.5528051853179932,0.022090159356594,0
410,0.550338625907898,0.0093515086919069,0.521054744720459,0.5523861646652222,0.0134573150426149,1
411,0.550020694732666,0.0043636281043291,0.5189110040664673,0.5519781112670898,0.0069704055786132,0
412,0.5500164031982422,-0.0008117128163576,0.5174174904823303,0.5517488121986389,0.0018924660980701,0
413,0.5499005913734436,-0.0043504033237695,0.5173901319503784,0.5516014099121094,-0.0003186836838722,0
414,0.5495229363441467,-0.0033659413456916,0.5170021057128906,0.5514705181121826,-0.0034667663276195,0
415,0.549466073513031,-0.0031475350260734,0.5162801742553711,0.5515021085739136,-0.0051318854093551,0
416,0.5491545796394348,-0.0085195209830999,0.5154635906219482,0.5514063239097595,-0.0055127218365669,0
417,0.5490113496780396,-0.0057485047727823,0.5156369209289551,0.5513553619384766,-0.0080409049987792,0
418,0.5490200519561768,-0.0036031026393175,0.514885663986206,0.5511294603347778,-0.0100493319332599,0
419,0.5491278767585754,-0.0105922054499387,0.5151702761650085,0.5512274503707886,-0.0101259090006351,0
420,0.549532413482666,-0.0065769609063863,0.5164074897766113,0.5515133142471313,-0.0047130286693573,0
421,0.5503203868865967,-0.0004348251968622,0.5189976692199707,0.5519567728042603,0.0065166242420673,1
422,0.5507147908210754,0.0105880871415138,0.5219483971595764,0.5522723197937012,0.0154644083231687,1
423,0.5510311722755432,0.0220432635396718,0.5247610807418823,0.5527809858322144,0.0249484665691852,1
424,0.5510562062263489,0.0215164311230182,0.5265734195709229,0.5530393719673157,0.0315893739461898,0
425,0.5511597394943237,0.0345789864659309,0.5278229713439941,0.5532108545303345,0.0361527986824512,1
