,tic,model,y_test,y_test_prob,y_test_pred
0,STLA,LSTM1,0,0.2341926097869873,0
1,STLA,LSTM1,0,0.23335334658622742,0
2,STLA,LSTM1,1,0.23324096202850342,0
3,STLA,LSTM1,1,0.23336011171340942,0
4,STLA,LSTM1,1,0.23472651839256287,0
5,STLA,LSTM1,1,0.2374197542667389,1
6,STLA,LSTM1,1,0.24095243215560913,1
7,STLA,LSTM1,1,0.24321922659873962,1
8,STLA,LSTM1,1,0.24486377835273743,1
9,STLA,LSTM1,1,0.24328306317329407,1
10,STLA,LSTM1,1,0.24342206120491028,1
11,STLA,LSTM1,1,0.2440347969532013,1
12,STLA,LSTM1,1,0.24241352081298828,1
13,STLA,LSTM1,1,0.24086248874664307,1
14,STLA,LSTM1,1,0.24118730425834656,1
15,STLA,LSTM1,1,0.2431306540966034,1
16,STLA,LSTM1,1,0.24461773037910461,1
17,STLA,LSTM1,1,0.24570134282112122,1
18,STLA,LSTM1,1,0.24617743492126465,1
19,STLA,LSTM1,0,0.24310865998268127,1
20,STLA,LSTM1,0,0.24108967185020447,1
21,STLA,LSTM1,0,0.23924145102500916,1
22,STLA,LSTM1,0,0.23664581775665283,0
23,STLA,LSTM1,0,0.2364484667778015,0
24,STLA,LSTM1,0,0.2365846335887909,0
25,STLA,LSTM1,1,0.23743337392807007,1
26,STLA,LSTM1,1,0.23837926983833313,1
27,STLA,LSTM1,1,0.23850953578948975,1
28,STLA,LSTM1,1,0.23484939336776733,0
29,STLA,LSTM1,1,0.23012658953666687,0
30,STLA,LSTM1,1,0.2280064821243286,0
31,STLA,LSTM1,1,0.22600558400154114,0
32,STLA,LSTM1,0,0.22295591235160828,0
33,STLA,LSTM1,0,0.2221873700618744,0
34,STLA,LSTM1,0,0.2220146358013153,0
35,STLA,LSTM1,0,0.22109606862068176,0
36,STLA,LSTM1,0,0.22139102220535278,0
37,STLA,LSTM1,0,0.22155365347862244,0
38,STLA,LSTM1,0,0.22219514846801758,0
39,STLA,LSTM1,0,0.22140255570411682,0
40,STLA,LSTM1,0,0.2219134271144867,0
41,STLA,LSTM1,0,0.22213250398635864,0
42,STLA,LSTM1,0,0.22168874740600586,0
43,STLA,LSTM1,0,0.22110086679458618,0
44,STLA,LSTM1,1,0.22144532203674316,0
45,STLA,LSTM1,1,0.2207033336162567,0
46,STLA,LSTM1,1,0.21988072991371155,0
47,STLA,LSTM1,1,0.2199430763721466,0
48,STLA,LSTM1,1,0.2191411852836609,0
49,STLA,LSTM1,1,0.2181040346622467,0
50,STLA,LSTM1,1,0.2152438759803772,0
51,STLA,LSTM1,1,0.21329209208488464,0
52,STLA,LSTM1,1,0.21120291948318481,0
53,STLA,LSTM1,1,0.21222561597824097,0
54,STLA,LSTM1,1,0.21443697810173035,0
55,STLA,LSTM1,1,0.21655616164207458,0
56,STLA,LSTM1,1,0.2195723056793213,0
57,STLA,LSTM1,0,0.22417530417442322,0
58,STLA,LSTM1,0,0.22872620820999146,0
59,STLA,LSTM1,0,0.23034009337425232,0
60,STLA,LSTM1,0,0.2312881052494049,0
61,STLA,LSTM1,0,0.22987845540046692,0
62,STLA,LSTM1,0,0.22809019684791565,0
